Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Євтушенко,Кирило,Юрійович,Чоловіча,20-02-1967,Провізор,село Сновськ,"площа Рози вітрів, буд. 9, Коломия, 94016",694 99 19,tereshchukliudmyla@example.com
Ірванець,Веніямин,Володимирович,Чоловіча,14-01-2005,Програміст,село Кам'янець-Подільський,"сквер Житомирська, буд. 4 кв. 062, Гайворон, 14976",484 37 36,ziaremchuk@example.net
Заїка,Панас,Петрович,Чоловіча,26-01-1951,Літературознавець,селище Миколаїв,"площа Мала, буд. 519 кв. 9, Івано-Франківськ, 05406",+380 (69) 784-30-91,varvaraostapchuk@example.net
Верховинець,Дмитро,Іванович,Чоловіча,10-05-1968,Пекар,хутір Батурин,"площа Флотський 3-й, буд. 682 кв. 789, Інкерман, 34746",+380 (35) 594-30-52,herman14@example.com
Тесленко,Богодар,Олегович,Чоловіча,17-03-1959,Фармацевт,місто Підгородне,"узвіз Рози вітрів, буд. 0, Залізне, 05040",122-96-77,mykhailoivanchenko@example.net
Цибуленко,Пилип,Арсенович,Чоловіча,16-06-1943,Кушнір,місто Старокостянтинів,"проспект Складська, буд. 28, Хорол, 91101",+380 92 541-81-56,adamenkoada@example.org
Твердохліб,Іван,Володимирович,Чоловіча,09-07-1978,Перекладач,село Новоукраїнка,"сквер Мала Арнаутська, буд. 408, Золочів, 56329",007 84 12,virarubets@example.net
Ґереґа,Ольга,Ігорівна,Жіноча,14-06-2001,Швачка,село Ялта,"площа Нафтовиків, буд. 63 кв. 5, Винники, 46630",+380 16 740-04-92,qieromenko@example.org
Литвин,Валентина,Петрівна,Жіноча,05-02-2007,Патологоанатом,місто Луганськ,"набережна Єфімова, буд. 70, Сватове, 76028",016 774-25-09,oryna80@example.com
Бабʼяк,Христина,Борисівна,Жіноча,13-12-1992,Підприємець,село Нетішин,"провулок Надіїі, буд. 29, Здолбунів, 40368",431 44 12,kshvachko@example.net
Базавлученко,Леопольд,Олександрович,Чоловіча,09-09-1988,Фрілансер,місто Бровари,"шосе Савицький, буд. 2 кв. 45, Шаргород, 69929",+380 52 576-26-03,pelekhliza@example.org
Товстоліс,Маруся,Сергіївна,Жіноча,20-01-1960,Електрик,селище Остер,"набережна Жасминна, буд. 922 кв. 1, Євпаторія, 52701",073 056-12-93,iefymenkozynovii@example.org
Нестеренко,Варвара,Олександрівна,Жіноча,16-05-1967,Дантист,селище Мостиська,"сквер Інглезі, буд. 974, Сватове, 59957",080 229 63 60,vsliusar@example.org
Оніщук,Марко,Олегович,Чоловіча,26-04-1990,Круп'є,селище Хмільник,"парк Побратимів, буд. 8, Нова Одеса, 84876",032 703 49 36,shcherbakoksana@example.org
Гавриш,Святослава,Ігорівна,Жіноча,20-08-1999,Провізор,місто Славутич,"сквер Педагогічна, буд. 61, Енергодар, 18187",846 54 01,ielysaveta64@example.com
Щербак,Гліб,Андрійович,Чоловіча,14-07-1949,Водій,село Переяслав,"парк Джевецького, буд. 0, Овруч, 80982",+380 60 901-56-32,myroslavderkach@example.com
Щорс,Теодор,Анатолійович,Чоловіча,03-08-1984,Намотувальник,селище Бобринець,"узвіз Карантинний узвіз, буд. 7 кв. 419, Корсунь-Шевченківський, 01387",+380 57 456 70 73,gdarahan@example.org
Худобʼяк,Марта,Олександрівна,Жіноча,18-11-1993,Слідчий,хутір Карлівка,"провулок Урожайна, буд. 215, Отаманівка, 67864",+380 48 730 21 08,boryslavdubenko@example.com
Бгиденко,Вадим,Петрович,Чоловіча,25-11-1962,Машиніст,місто Красногорівка,"провулок Харківська, буд. 148, Прип'ять, 63137",+380 00 215-22-06,leonid37@example.com
Рубець,Гліб,Васильович,Чоловіча,04-05-1939,Візажист,місто Корець,"площа Восьмого березня, буд. 27 кв. 2, Березівка, 30176",+380 12 329-29-99,vvanchenko@example.net
Зінченко,Кирило,Олександрович,Чоловіча,25-06-1945,Хімік,селище Бахмут,"площа Бокаріуса, буд. 894 кв. 99, Зоринськ, 33099",+380 34 947 49 50,dutkaviktoriia@example.org
Баран,Альбіна,Андріївна,Жіноча,30-11-1971,Філолог,хутір Іллінці,"вулиця Бардаха, буд. 0, Новий Буг, 52586",507-76-17,isheremet@example.net
Нестайко,Віталій,Семенович,Чоловіча,28-11-1986,Фольклорист,хутір Мала Виска,"парк Ялинкова, буд. 985 кв. 08, Чернівці, 43550",+380 99 681-37-92,kabaliukvalerii@example.net
Штокало,Оксенія,Сергіївна,Жіноча,15-02-2004,Математик,село Оріхів,"шосе Сливовий, буд. 6, Таврійськ, 76147",+380 02 778 66 29,mykhailiukustym@example.com
Байдак,Устим,Васильович,Чоловіча,25-12-1964,Математик,селище Полонне,"узвіз Старокінний, буд. 84 кв. 7, Карлівка, 05358",+380 (28) 923-28-65,venedykt30@example.com
Засядько,Єлисавета,Ігорівна,Жіноча,04-04-1953,Вчитель,місто Кривий Ріг,"вулиця Мукачівський, буд. 27, Мар'їнка, 72930",017 674 07 98,shcherbakmaryna@example.net
Мамчур,Остап,Михайлович,Чоловіча,11-10-1967,Фермер,хутір Скадовськ,"узвіз Залізнична, буд. 2 кв. 1, Керч, 05416",+380 82 879 86 42,iurchyshynolena@example.net
Устенко,Дан,Михайлович,Чоловіча,09-12-2002,Психолог,село Ланівці,"шосе Шкодова гора, буд. 40 кв. 989, Пирятин, 31291",036 254-43-13,kkorbut@example.net
Рудик,Аврелій,Романович,Чоловіча,28-06-1945,Співак,місто Добропілля,"провулок Баркасний, буд. 5 кв. 88, Олешки, 15556",+380 77 786 50 84,azar13@example.com
Лаба,Тимофій,Арсенович,Чоловіча,04-08-1965,Історик,місто Буча,"набережна Прохоровський, буд. 79 кв. 18, Мелітополь, 27243",+380 92 743 03 47,feofan27@example.org
Гузій,Герман,Борисович,Чоловіча,28-08-1984,Лікар,хутір Енергодар,"площа Костанді 2-й, буд. 5, Кам'янка-Дніпровська, 94254",675-92-27,martynfastenko@example.com
Верхола,Ольга,Володимирівна,Жіноча,22-04-1957,Пілот,місто Звенигородка,"сквер Дальницька, буд. 630 кв. 045, Зміїв, 84439",036 501 57 59,hlib28@example.org
Ґоляш,Станіслав,Романович,Чоловіча,25-05-1943,Електротехнік,місто Отаманівка,"провулок Сирітський, буд. 3, Білицьке, 17145",+380 47 794-57-77,opanas64@example.org
Гук,Пилип,Петрович,Чоловіча,28-06-1970,Економіст,селище Бахмут,"набережна Партизанська, буд. 02 кв. 0, Глухів, 32064",+380 52 689-95-00,iriabets@example.net
Бакуменко,Маруся,Дмитрівна,Жіноча,11-11-1962,Драматург,хутір Бердянськ,"провулок Офіцерський 1-й, буд. 319, Суходільськ, 85052",963-09-96,ihor69@example.net
Асаула,Богданна,Семенівна,Жіноча,13-04-1959,Паралегал,село Синельникове,"проспект Аркаса Миколи, буд. 1, Дунаївці, 08305",+380 02 952-61-21,demydenkozakhar@example.org
Вергун,Орина,Володимирівна,Жіноча,20-01-1972,Фотограф,село Хутір-Михайлівський,"шосе Олешківська, буд. 3, Угнів, 63089",665-33-62,ruslanmamchur@example.org
Закусило,Марія,Арсенівна,Жіноча,12-11-1961,Різноробочий,місто Антрацит,"шосе Євгена Крамаренка, буд. 29, Новоукраїнка, 37343",002 574 17 81,symon20@example.net
Чайка,Тетяна,Олегівна,Жіноча,26-04-1946,Математик,місто Новий Калинів,"узвіз Географічний, буд. 53, Джанкой, 41967",063 130-26-17,babiivioletta@example.net
Жайворон,Валентина,Володимирівна,Жіноча,28-03-1947,Медик,селище Житомир,"провулок Урожайна, буд. 3, Андрушівка, 31174",010 653 57 62,hennadiitsushko@example.com
Артюх,Венедикт,Михайлович,Чоловіча,27-05-1969,Палеонтолог,селище Вишневе,"набережна Високий, буд. 37, Новодністровськ, 66852",003 384-17-34,vashchenkohalyna@example.com
Єрченко,Лілія,Василівна,Жіноча,22-06-1949,Математик,місто Винники,"сквер Мелодійний, буд. 54, Зоринськ, 08328",+380 20 051-01-62,veniiamynchumak@example.org
